"user_id","customer_segment","customer_perk","gender","age_group","traveller_type","num_trips","avg_checked_bags","booking_behaviour","flight_spend_category","hotel_spend_category","travel_frequency","discounted_flight_booking_ratio","discounted_hotel_booking_ratio"
"23557","Blue","Exclusive discounts","F","Senior","Only hotel booking","2","0","Last-minute","Low","Upper Mid","Low","","0.50000000000000000000"
"94883","Blue","Exclusive discounts","F","Senior","Couple","2","0.50000000000000000000","Last-minute","Mid","Lower Mid","Low","0.00000000000000000000","0.00000000000000000000"
"101486","Bronze","No cancellation fees","F","Senior","Solo","2","0.00000000000000000000","Medium-term","Lower Mid","Mid","Low","0.00000000000000000000","0.00000000000000000000"
"101961","Gold","Free hotel meal","F","Mid","Solo","5","0.40000000000000000000","Last-minute","Mid","Mid","Medium","0.20000000000000000000","0.00000000000000000000"
"106907","Gold","Free hotel meal","F","Mid","Family","1","5.0000000000000000","Long-term","High","Upper Mid","Low","0.00000000000000000000","0.00000000000000000000"
"118043","Platinum","1 night free hotel with flight","F","Senior","Family","5","1.00000000000000000000","Medium-term","High","High","Medium","0.00000000000000000000","0.50000000000000000000"
"120851","Bronze","No cancellation fees","F","Senior","Solo","1","0.00000000000000000000","Medium-term","Mid","Mid","Low","0.00000000000000000000","0.00000000000000000000"
"125845","Silver","Free checked bag","F","Mid","Couple","3","0.66666666666666666667","Medium-term","Upper Mid","Mid","Medium","0.33333333333333333333","0.00000000000000000000"
"133058","Blue","Exclusive discounts","F","Young","Only flight booking","1","0.00000000000000000000","Last-minute","Mid","Low","Low","0.00000000000000000000",""
"149058","Platinum","1 night free hotel with flight","F","Senior","Family","5","0.40000000000000000000","Last-minute","Upper Mid","High","Medium","0.20000000000000000000","0.00000000000000000000"
"152583","Silver","Free checked bag","F","Mid","Solo","1","2.0000000000000000","Medium-term","Mid","Lower Mid","Low","0.00000000000000000000","0.00000000000000000000"
"153982","Silver","Free checked bag","F","Mid","Solo","3","0.33333333333333333333","Medium-term","Mid","Mid","Medium","0.00000000000000000000","0.00000000000000000000"
"160754","Bronze","No cancellation fees","F","Mid","Solo","1","1.00000000000000000000","Medium-term","Lower Mid","Lower Mid","Low","0.00000000000000000000","0.00000000000000000000"
"164522","Bronze","No cancellation fees","F","Mid","Solo","1","1.00000000000000000000","Medium-term","Lower Mid","Upper Mid","Low","1.00000000000000000000","0.00000000000000000000"
"167852","Casual web searcher","No perks","F","Young","No traveller","0","0","Last-minute","Low","Low","Low","",""
"171470","Blue","Exclusive discounts","F","Young","Only flight booking","1","0.00000000000000000000","Long-term","Upper Mid","Low","Low","1.00000000000000000000",""
"174997","Bronze","No cancellation fees","F","Mid","Solo","2","0.00000000000000000000","Medium-term","Mid","Lower Mid","Low","0.00000000000000000000","0.00000000000000000000"
"175032","Platinum","1 night free hotel with flight","F","Young","Couple","3","0.50000000000000000000","Last-minute","Upper Mid","Upper Mid","Medium","0.00000000000000000000","0.33333333333333333333"
"181157","Platinum","1 night free hotel with flight","F","Senior","Couple","3","1.00000000000000000000","Last-minute","Upper Mid","High","Medium","0.33333333333333333333","0.33333333333333333333"
"182191","Casual web searcher","No perks","F","Young","No traveller","0","0","Last-minute","Low","Low","Low","",""
"187212","Silver","Free checked bag","F","Senior","Solo","3","0.66666666666666666667","Medium-term","Mid","Mid","Medium","0.00000000000000000000","0.00000000000000000000"
"189676","Gold","Free hotel meal","F","Mid","Family","2","2.0000000000000000","Last-minute","High","High","Low","0.00000000000000000000","0.00000000000000000000"
"190866","Silver","Free checked bag","F","Mid","Solo","5","0.40000000000000000000","Medium-term","Upper Mid","Mid","Medium","0.00000000000000000000","0.00000000000000000000"
"195192","Bronze","No cancellation fees","F","Young","Couple","1","0.00000000000000000000","Medium-term","Mid","Lower Mid","Low","0.00000000000000000000","0.00000000000000000000"
"204943","Platinum","1 night free hotel with flight","M","Mid","Couple","6","1.3333333333333333","Long-term","High","High","Medium","0.16666666666666666667","0.00000000000000000000"
"204997","Silver","Free checked bag","F","Mid","Couple","3","0.33333333333333333333","Medium-term","Mid","Mid","Medium","0.33333333333333333333","0.50000000000000000000"
"205044","Platinum","1 night free hotel with flight","F","Mid","Family","3","0.33333333333333333333","Last-minute","High","High","Medium","0.33333333333333333333","0.00000000000000000000"
"206011","Gold","Free hotel meal","F","Mid","Solo","4","0.25000000000000000000","Last-minute","Mid","Mid","Medium","0.25000000000000000000","0.00000000000000000000"
"216796","Silver","Free checked bag","F","Young","Couple","1","2.0000000000000000","Long-term","High","Mid","Low","1.00000000000000000000","0.00000000000000000000"
"217114","Casual web searcher","No perks","O","Young","No traveller","0","0","Last-minute","Low","Low","Low","",""
"217136","Bronze","No cancellation fees","F","Mid","Solo","2","0.00000000000000000000","Medium-term","Mid","Mid","Low","0.00000000000000000000","0.00000000000000000000"
"220725","Gold","Free hotel meal","F","Mid","Solo","4","0.25000000000000000000","Last-minute","Upper Mid","Mid","Medium","0.00000000000000000000","0.00000000000000000000"
"224996","Bronze","No cancellation fees","F","Mid","Solo","2","0.00000000000000000000","Medium-term","Mid","Lower Mid","Low","0.00000000000000000000","0.00000000000000000000"
"226367","Silver","Free checked bag","F","Mid","Couple","3","0.66666666666666666667","Medium-term","Mid","Mid","Medium","0.33333333333333333333","0.00000000000000000000"
"228195","Casual web searcher","No perks","F","Young","No traveller","0","0","Last-minute","Low","Low","Low","",""
"228872","Blue","Exclusive discounts","M","Mid","Solo","2","1.00000000000000000000","Last-minute","Mid","Mid","Low","0.00000000000000000000","0.00000000000000000000"
"229009","Silver","Free checked bag","F","Young","Solo","3","0.33333333333333333333","Long-term","Upper Mid","Lower Mid","Medium","0.00000000000000000000","0.00000000000000000000"
"229108","Bronze","No cancellation fees","F","Young","Only flight booking","1","0.00000000000000000000","Long-term","Mid","Low","Low","0.00000000000000000000",""
"229330","Platinum","1 night free hotel with flight","F","Mid","Couple","3","0.00000000000000000000","Medium-term","Upper Mid","Upper Mid","Medium","0.00000000000000000000","0.00000000000000000000"
"232647","Bronze","No cancellation fees","F","Young","Solo","2","1.00000000000000000000","Medium-term","Lower Mid","Mid","Low","0.00000000000000000000","0.00000000000000000000"
"249521","Bronze","No cancellation fees","F","Senior","Solo","2","1.00000000000000000000","Medium-term","Mid","Lower Mid","Low","0.00000000000000000000","0.50000000000000000000"
"252835","Silver","Free checked bag","F","Mid","Solo","5","0.60000000000000000000","Medium-term","Mid","Mid","Medium","0.20000000000000000000","0.00000000000000000000"
"258451","Blue","Exclusive discounts","F","Young","Only hotel booking","1","0","Last-minute","Low","Mid","Low","","0.00000000000000000000"
"264470","Bronze","No cancellation fees","F","Mid","Solo","2","0.50000000000000000000","Medium-term","Mid","Mid","Low","0.50000000000000000000","0.00000000000000000000"
"276512","Bronze","No cancellation fees","F","Mid","Solo","1","1.00000000000000000000","Medium-term","Mid","Lower Mid","Low","0.00000000000000000000","0.00000000000000000000"
"281952","Silver","Free checked bag","F","Mid","Solo","2","1.5000000000000000","Medium-term","Mid","Lower Mid","Low","0.00000000000000000000","0.50000000000000000000"
"283325","Blue","Exclusive discounts","F","Senior","Solo","2","0.00000000000000000000","Last-minute","Mid","Upper Mid","Low","1.00000000000000000000","0.00000000000000000000"
"290123","Platinum","1 night free hotel with flight","F","Mid","Couple","6","1.00000000000000000000","Last-minute","High","Upper Mid","Medium","0.00000000000000000000","0.00000000000000000000"
"297546","Platinum","1 night free hotel with flight","F","Senior","Couple","5","0.75000000000000000000","Last-minute","Upper Mid","Upper Mid","Medium","0.00000000000000000000","0.20000000000000000000"
